Tail_Number, Model, Manufacturer, Engine_Type, Aircraft_Type, Production_Year, Issue_Date, Status, Ownership
N11193,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-10-19,V,C
N11194,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-11-09,V,C
N11199,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2006,2006-02-22,V,C
N111US,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-11-29,V,C
N11206,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-07-27,V,C
N112US,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-12-22,V,C
N113UW,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,1999,2000-01-18,V,C
N114UW,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,1999,2000-01-24,V,C
N11526,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-04-04,V,C
N11535,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2002-07-10,V,C
N11536,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2002-07-10,V,C
N11539,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2002-05-29,V,C
N11544,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-05-30,V,C
N11547,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-05-30,V,C
N11548,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-05-30,V,C
N11551,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-05-30,V,C
N11565,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-08-23,V,C
N11612,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1994,1994-07-20,V,C
N11641,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1997,1997-08-29,V,C
N11651,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1997,1997-12-31,V,C
N11656,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,2008-02-22,V,C
N116UA,747-422,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-12-29,V,C
N117UA,747-422,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-02-01,V,C
N117UW,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-08-11,V,C
N118US,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-09-14,V,C
N119UA,747-422,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-03-31,V,C
N119US,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-08-18,V,C
N1200K,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-04-13,V,C
N1201P,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-04-22,V,C
N120UA,747-422,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-04-13,V,C
N12109,757-224,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1994,1994-12-07,V,C
N12114,757-224,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1995,1995-07-05,V,C
N12116,757-224,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1996,1996-03-29,V,C
N12122,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-01-22,V,C
N12125,757-224,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1998,1998-02-02,V,C
N12126,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-02-12,V,C
N12135,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-05-07,V,C
N12136,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-05-14,V,C
N12142,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-06-26,V,C
N12145,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-08-26,V,C
N12157,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-02-19,V,C
N12160,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-04-14,V,C
N12163,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-05-26,V,C
N12166,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-07-28,V,C
N12167,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-07-29,V,C
N12172,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-10-27,V,C
N12175,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-12-15,V,C
N12195,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-12-07,V,C
N121DE,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1987,1987-06-09,V,C
N121UA,747-422,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-04-23,V,C
N121UW,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-09-22,V,C
N12201,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2006,2006-04-19,V,C
N12216,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-08-05,V,C
N12218,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-08-17,V,C
N12221,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-12-02,V,C
N12225,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-12-22,V,C
N12238,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-10-12,V,C
N122UA,747-422,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-06-15,V,C
N122US,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-11-30,V,C
N12313,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1985,1985-10-18,V,C
N12318,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1986,2006-07-18,V,C
N12319,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1986,2006-07-18,V,C
N12322,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1986,1997-06-30,V,C
N12327,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1986,2004-05-05,V,C
N12349,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1987,2006-10-04,V,C
N123UW,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-11-20,V,C
N124DE,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1987,1987-11-25,V,C
N124US,A320-214,AIRBUS INDUSTRIE,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-11-21,V,C
N12519,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-01-10,V,C
N12528,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,,2002-05-31,V,C
N12530,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2002-05-31,V,C
N12540,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2002-05-30,V,C
N12552,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-05-30,V,C
N12563,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-06-27,V,C
N12564,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-07-18,V,C
N12567,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-08-26,V,C
N12569,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2003-06-24,V,C
N125DL,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1988,2008-02-06,V,C
N126AT,737-76N,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-06-24,V,C
N126DL,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1988,2008-02-04,V,C
N127DL,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1988,1988-07-11,V,C
N128DL,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1988,1988-07-13,V,C
N128UA,747-422,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-05-15,V,C
N12900,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2002-07-01,V,C
N12921,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-12-14,V,C
N12922,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-11-08,V,C
N12924,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-10-30,V,C
N12934,EMB-145EP,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,1997,1998-02-23,V,C
N12946,EMB-145EP,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,1998,1998-07-22,V,C
N12957,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1998,1999-01-04,V,C
N12967,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-06-18,V,C
N12996,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-10-30,V,C
N129DL,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1988,1988-07-11,V,C
N1309T,DC-9-31,DOUGLAS,Turbo-Jet,Fixed Wing Multi-Engine,1968,2004-06-17,V,C
N130DL,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1988,2007-03-06,V,C
N13110,757-224,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1994,1994-12-08,V,C
N13113,757-224,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1995,1995-04-12,V,C
N13118,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2003-06-26,V,C
N13123,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-02-05,V,C
N13124,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-02-05,V,C
N13132,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-04-09,V,C
N13133,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-04-16,V,C
N13138,757-224,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1999,2000-06-02,V,C
N13161,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-04-29,V,C
N131DN,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1990,2007-11-19,V,C
N13202,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2006,2006-04-26,V,C
N13248,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-12-07,V,C
N132DN,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1991,1991-02-15,V,C
N1332U,DC-9-31,DOUGLAS,Turbo-Jet,Fixed Wing Multi-Engine,1969,1986-12-22,V,C
N1334U,DC-9-31,DOUGLAS,Turbo-Jet,Fixed Wing Multi-Engine,1970,1986-12-22,V,C
N133DN,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1991,1991-02-14,V,C
N134DL,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1991,1991-02-26,V,C
N13538,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2002-05-30,V,C
N13550,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-05-30,V,C
N13553,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-05-30,V,C
N13566,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-08-23,V,C
N135DL,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1991,1991-06-06,V,C
N13624,737-524,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1995,1995-02-07,V,C
N136DL,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1991,1991-06-18,V,C
N13716,737-724,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1998,1998-12-07,V,C
N13718,737-724,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1999,1999-01-26,V,C
N13720,737-724,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1999,1999-03-01,V,C
N13750,737-724,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1999,1999-06-07,V,C
N137DL,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1991,1991-11-01,V,C
N138DL,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1991,1992-01-21,V,C
N13903,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2002-07-02,V,C
N13908,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2002-05-31,V,C
N13913,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-05-25,V,C
N13914,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-05-09,V,C
N13929,EMB-145EP,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,1997,1997-11-29,V,C
N13935,EMB-145EP,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,1997,1998-02-23,V,C
N13936,EMB-145EP,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,1997,1998-02-23,V,C
N13949,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-07-22,V,C
N13955,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1998,1999-01-04,V,C
N13956,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1998,1999-01-04,V,C
N13958,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1998,1999-01-04,V,C
N13964,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-06-17,V,C
N13965,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-06-17,V,C
N13968,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-06-17,V,C
N13969,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-09-17,V,C
N13970,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-09-20,V,C
N13975,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1999,2000-10-20,V,C
N13978,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1999,2000-10-20,V,C
N13979,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,1999,2000-10-20,V,C
N13988,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-10-20,V,C
N13989,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-10-20,V,C
N13990,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-10-20,V,C
N13992,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-10-20,V,C
N13994,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-10-30,V,C
N13995,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-10-30,V,C
N13997,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-10-30,V,C
N139DL,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1992,1992-05-11,V,C
N1402A,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1993,1993-09-29,V,C
N140LL,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1993,2008-03-24,V,C
N14102,757-224,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1994,1994-06-03,V,C
N14105,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2003-06-24,V,C
N14106,757-224,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1994,1994-09-23,V,C
N14107,757-224,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1994,1994-10-17,V,C
N14115,757-224,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1995,1995-08-15,V,C
N14116,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2003-06-26,V,C
N14117,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2003-06-26,V,C
N14118,757-224,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1997,1997-03-28,V,C
N14120,757-224,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1997,1997-08-05,V,C
N14121,757-224,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1997,1997-08-01,V,C
N14125,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-02-12,V,C
N14143,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-07-17,V,C
N14148,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-09-18,V,C
N14153,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2003,2003-12-10,V,C
N14158,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-03-11,V,C
N14162,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-05-10,V,C
N14168,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-08-25,V,C
N14171,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-10-20,V,C
N14173,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-11-24,V,C
N14174,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2004,2004-12-08,V,C
N14177,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-02-16,V,C
N14179,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-03-09,V,C
N14180,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-03-23,V,C
N14186,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-06-29,V,C
N14188,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2005,2005-07-20,V,C
N14198,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2006,2006-02-08,V,C
N14203,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2006,2006-05-22,V,C
N14204,EMB-145XR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2006,2006-06-21,V,C
N14214,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-07-27,V,C
N14219,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-08-28,V,C
N14230,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-06-17,V,C
N14231,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-06-22,V,C
N14237,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-09-22,V,C
N14242,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-10-26,V,C
N14250,737-824,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,2000-06-02,V,C
N14308,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1985,1985-09-24,V,C
N14320,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1986,2004-02-17,V,C
N14324,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1986,1997-07-01,V,C
N14325,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1986,2008-05-21,V,C
N14334,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1986,1997-09-02,V,C
N14335,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1986,1997-09-02,V,C
N14336,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1987,2007-06-20,V,C
N14337,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1987,2007-04-17,V,C
N14341,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1987,2007-04-17,V,C
N14342,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1987,2007-04-17,V,C
N14346,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1987,1987-09-15,V,C
N14347,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1987,1987-10-16,V,C
N14358,737-3TO,BOEING,Turbo-Jet,Fixed Wing Multi-Engine,1988,2001-03-22,V,C
N143DA,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1998,1998-10-16,V,C
N144DA,767-332,BOEING,Turbo-Fan,Fixed Wing Multi-Engine,1999,1999-05-14,V,C
N14505,EMB-135ER,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,1999,2000-10-31,V,C
N14508,EMB-135ER,EMBRAER,Turbo-Jet,Fixed Wing Multi-Engine,2000,2000-11-01,V,C
N14514,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-10-31,V,C
N14516,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2000,2000-10-31,V,C
N14522,EMB-135LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2001-02-07,V,C
N14542,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2001,2002-05-30,V,C
N14543,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-05-30,V,C
N14558,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,,2002-05-29,V,C
N14562,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2002-06-27,V,C
N14568,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2003-06-24,V,C
N14570,EMB-145LR,EMBRAER,Turbo-Fan,Fixed Wing Multi-Engine,2002,2003-06-24,V,C
